date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2017-04-30,4460.0,166907.55520539,469,4497.68087571,4498.0,4527.99999,4544.005,37.10969271
2017-05-01,4480.123,648034.69308044,969,4601.93607346,4497.00001,4651.79578,4685.0,140.817839
2017-05-02,4583.00416,1751593.70671049,2000,4769.56586913,4651.79578,4900.0,4943.0,367.24384457
2017-05-03,4872.0,2302907.65463478,2427,5149.03196413,4898.0,5270.0,5489.89,447.25060374
2017-05-04,4500.0,4736924.48571534,3064,5210.41888235,5266.0,5099.0,5859.0,909.12546432
2017-05-05,4860.27233,2792849.08056096,2054,5096.6612032,5099.0,5081.65508,5315.08895,547.97620819
2017-05-06,5000.0,926605.03443117,1204,5182.85927004,5169.94737,5150.0,5300.0,178.78259589
2017-05-07,5104.0,487093.81166803,905,5205.76670232,5150.0,5240.27589,5293.18189,93.56812157
2017-05-08,5143.1758,2758704.71364372,2650,5360.01944031,5250.22887,5451.11011,5500.0,514.68184852
2017-05-09,5442.58436,2524011.45433203,2593,5670.65968997,5499.5023,5708.99997,5850.0,445.10014572
2017-05-10,5660.5,2527125.41934164,2585,5904.87359079,5708.99997,5990.0,6150.0,427.97282287
2017-05-11,5990.0,4318215.43975348,2562,6359.64464715,5990.0,6599.95,6599.99999,679.00262976
2017-05-12,6000.0,3842192.45637514,2973,6388.75008724,6599.93,6249.56999,6600.0,601.39971104
2017-05-13,6205.1,1008791.60269698,1092,6421.93171111,6249.57998,6570.00001,6589.08,157.08538304
2017-05-14,6476.00002,487363.79952019,694,6525.31949295,6530.0,6500.01001,6569.0,74.68811298
2017-05-15,6309.86435,2423293.10506608,2363,6489.55735395,6548.99899,6486.0,6600.0,373.41423658
2017-05-16,6450.0,2334946.08633981,2326,6574.12784599,6486.00001,6754.98996,6900.0,355.17199255
2017-05-17,6465.0,4220110.66921605,2229,6567.49476348,6717.00001,6550.0,6761.0,642.5754144
2017-05-18,6549.99999,4387113.08529301,3364,6982.23199416,6550.0,7199.0,7349.97,628.32531044
2017-05-19,7111.26,3196372.77319983,2722,7435.49899947,7264.99993,7917.99992,8000.0,429.88006231
2017-05-20,7736.02007,2096963.06017908,1741,7958.41646909,7890.0,7990.0,8000.0,263.48998803
2017-05-21,7957.002,1675178.77311957,1138,8026.01749443,7990.0,8015.21,8079.99991,208.71855491
2017-05-22,8000.0,7172784.94852522,5196,9056.13169702,8050.0,9250.0,9497.7777,792.03628972
2017-05-23,9060.0,4452925.74660119,3566,9275.72007156,9249.0,9338.0,9398.0,480.06254094
2017-05-24,9288.0,7795590.12748034,4798,10023.6240946,9329.0,10500.0,10600.0,777.72171561
2017-05-25,4200.0,15274920.08321545,9314,10981.76801286,10500.0,10651.15506,13999.99,1390.93450757
2017-05-26,9501.0,10408380.88972496,7701,10645.96865936,10651.16506,10010.0,11749.0,977.68284153
2017-05-27,8421.0,7037599.45868467,5045,9383.44154284,10198.0,9600.0,10198.0,750.00195041
2017-05-28,9460.0,3170065.88186782,2667,9838.79393933,9538.0,9780.4,10200.0,322.20065807
2017-05-29,9607.0,4220651.68432508,3726,9843.76534933,9780.66402,9852.1948,10000.0,428.76394698
2017-05-30,9650.0,4829145.35278081,4222,9817.079795,9948.8179,9650.0,10000.0,491.91261084
2017-05-31,9300.0,5219337.90941111,4163,9492.32994996,9660.0,9599.95,9829.99,549.84792321
2017-06-01,8950.0,6040104.59586807,4250,9513.11543852,9598.7157,9439.99,9819.0,634.92392528
2017-06-02,8500.0,5627819.93075074,4058,9177.2523567,9400.0,9099.0,9599.9,613.23582615
2017-06-03,8989.0,1374394.2165047,1463,9140.73568852,9099.0,9148.0,9246.99979,150.3592559
2017-06-04,8900.0,1509923.18064732,1231,9124.69260977,9148.0,9179.999,9246.99979,165.47660784
2017-06-05,9112.00001,4619112.62937672,3804,9401.88396596,9179.999,9800.0,9850.0,491.29649399
2017-06-06,9603.75001,4991796.57248787,4751,9891.83598591,9800.0,9901.01,10130.0,504.63802469
2017-06-07,9731.0,3046072.83123507,2983,9896.2863817,9945.97997,9838.0,10100.0,307.79958398
2017-06-08,9683.69,2868780.96051056,2360,9792.84585766,9775.0,9880.0,9938.0,292.94660635
2017-06-09,9801.0,2023447.82787688,1863,9866.9158407,9880.0,9977.99911,9978.98999,205.07399278
2017-06-10,9900.0,1031155.9327583,1305,9957.45113398,9901.00001,9972.0,10000.0,103.55621322
2017-06-11,9940.0,1292650.81576202,1356,10013.78002214,9972.0,10100.0,10100.0,129.08719913
2017-06-12,9300.04,4291769.92465865,3443,9755.81087356,10038.00001,9810.0,10099.99999,439.91934451
2017-06-13,9600.0,2952003.81211665,2564,9698.29994502,9810.0,9670.0,9839.94,304.38363722
2017-06-14,9212.00006,4251643.38806461,3172,9512.74954859,9710.0,9360.0,9780.0,446.94158785
2017-06-15,8050.0,6330054.88517962,3820,8734.08559366,9380.0,8670.0,9560.0,724.75301705
2017-06-16,8600.00058,2677696.78346551,2407,8963.00347745,8680.0,9034.0,9120.0,298.74994361
2017-06-17,9002.52071,1727849.5348143,1589,9160.16424689,9033.98999,9134.0,9280.0,188.62647964
2017-06-18,8800.0,1278650.34588469,1258,8969.08584681,9134.0,8816.01,9199.0,142.56194753
2017-06-19,8800.0,2261622.68020086,2388,8947.11264123,8897.97998,9000.03,9089.0,252.77681984
2017-06-20,9000.0,3527659.04710209,3015,9237.28933562,9043.0,9319.89973,9497.0,381.89331512
2017-06-21,9210.60292,2086709.40039301,2419,9326.29450429,9231.99897,9270.00001,9449.98,223.74474658
2017-06-22,9230.0,1902634.94053691,1970,9289.50115018,9270.00001,9262.0,9380.0,204.81562032
2017-06-23,9230.0,2085090.92129239,2455,9335.89744242,9262.03,9416.85,9450.0,223.34124107
2017-06-24,9200.0,836504.87825364,991,9281.82294329,9330.47107,9289.90977,9413.24,90.12290833
2017-06-25,8999.94569,2039537.0116502,1135,9206.61054869,9221.0,9230.12345,9400.0,221.52962818
2017-06-26,8515.0,4447032.38629277,3180,8926.47404693,9230.12345,9104.43117,9300.0,498.1846542
2017-06-27,8625.0,2501724.03083644,2602,8892.11286986,9104.43116,9059.66581,9199.0,281.34191136
2017-06-28,8880.0,1755610.66334088,1944,8981.67007251,9059.29509,8931.38404,9115.0,195.46594889
2017-06-29,8880.99,1321634.72680739,1825,8965.5694678,9041.17424,8969.5,9041.17424,147.41224543
2017-06-30,8825.0,1692875.39805134,1943,8946.11148584,8930.20015,8845.0,9050.0,189.23030422
2017-07-01,8800.0,623201.20855215,927,8855.67021296,8845.0,8846.49,8924.76474,70.37312745
2017-07-02,8721.00053,654412.00882614,765,8809.68451549,8846.49,8869.9193,8896.99999,74.28325131
2017-07-03,8700.99999,2497895.37072923,2211,8824.47366873,8780.001,8769.4,9000.0,283.06451631
2017-07-04,8710.0,2265554.63142932,2330,8809.78835799,8769.421,8754.988,8899.99995,257.1633437
2017-07-05,8716.0,1701931.42895295,2104,8824.08939032,8824.99,8843.89948,8900.0,192.87332139
2017-07-06,8751.0,1103614.16398288,1940,8806.47997644,8774.15002,8800.03,8844.0,125.31842086
2017-07-07,8650.01,1463839.71625751,2003,8744.98423298,8820.0,8798.0,8832.99998,167.39192173
2017-07-08,8690.00001,616064.88248522,902,8757.16848767,8790.0,8724.0,8810.0,70.34978068
2017-07-09,8650.0,629312.81639326,730,8721.07302281,8724.0,8661.37188,8810.0,72.16002145
2017-07-10,8000.0,2843541.18082232,2916,8414.69231964,8697.0,8100.0,8700.00004,337.92574616
2017-07-11,7555.55,2654594.03448329,3134,7915.36091694,8100.0,7869.99999,8148.0,335.37245646
2017-07-12,7801.0,2227087.91968606,2639,8118.24032488,7869.99999,8292.49999,8450.0,274.3313613
2017-07-13,8056.38165,1481921.29628682,2236,8177.01124296,8242.30002,8147.9,8292.5,181.2301894
2017-07-14,7500.0,2589506.70528703,2662,7832.1119129,8128.9,7500.0,8150.0,330.62687741
2017-07-15,6102.0,2819312.06196646,2308,6656.47057651,7500.04,6600.02301,7515.0,423.54458411
2017-07-16,5016.77,2747707.90171348,2151,5746.93688123,6650.0,5752.01101,6699.0,478.11694447
2017-07-17,5502.00067,4114262.3806043,4205,7017.5743887,5755.00101,7201.0,7900.0,586.27983869
2017-07-18,7102.0,2815421.75762527,2978,7654.54170075,7279.97898,7724.98999,7900.0,367.81062377
2017-07-19,7566.0883,1988007.98686489,2711,7745.87310082,7724.96993,7749.0,7980.0,256.65382856
2017-07-20,7628.0,5877760.20168022,5488,8518.02294734,7749.0,8701.0,9100.0,690.0380802
2017-07-21,8500.0,2353319.92095891,3054,8771.00142241,8701.0,8820.00101,9000.0,268.30686801
2017-07-22,8755.0,1406477.75229873,1733,8905.90464084,8755.0013,8995.1203,9000.0,157.92643297
2017-07-23,8700.0,779077.43967053,1184,8857.37607142,8885.001,8900.0,8996.99011,87.9580401
2017-07-24,8775.0,1844341.99738089,2817,8947.7305851,8869.0,9075.99999,9100.0,206.12399757
2017-07-25,8227.0,3259956.75330479,3529,8703.22347705,9010.00001,8740.0,9075.85984,374.56888955
2017-07-26,8233.0,1814551.78562334,2260,8485.93652946,8739.0,8492.99998,8750.0,213.83046872
2017-07-27,8351.0,2162101.87061797,2559,8625.1010876,8454.98,8745.78459,8850.0,250.67553976
2017-07-28,8686.00001,2473736.05250464,2757,8867.49304165,8789.99,8836.0,9000.0,278.96678812
2017-07-29,8500.0,1107103.30470625,1376,8675.92989355,8784.99973,8550.02,8848.0,127.60629907
2017-07-30,8500.0,614578.59373204,929,8623.33312113,8688.55555,8612.0,8779.0,71.26926272
2017-07-31,8470.09001,2482793.54911732,2683,8789.00322168,8696.0,8734.98999,9000.0,282.48863796
2017-08-01,8604.0,1192947.77659187,1654,8879.92830421,8670.00001,8950.001,9049.99999,134.34205049
2017-08-02,8860.0,1392703.12634799,2167,8965.02586462,8950.11,9050.0,9050.0,155.34847834
2017-08-03,8910.0,2379599.23555193,3156,9166.31707293,9050.0,9165.45104,9500.0,259.60254447
2017-08-04,9165.5055,3335382.12170665,3477,9565.58997128,9165.52907,9770.0,9849.99994,348.68545816
