date,lowest,volume,amount,avg_price,opening,closing,highest,quantity
2017-03-17,13.411,25021.46210318,111,14.05519827,14.48,13.7599,14.5,1780.22832696
2017-03-18,13.0,35504.65932817,98,13.83398112,14.45,14.1,14.46999,2566.48169593
2017-03-19,13.7,14696.63459719,46,13.90317847,13.7,14.0,14.2,1057.07012468
2017-03-20,13.75,16706.5629366,97,14.01250545,14.2,13.81,14.24999,1192.26094103
2017-03-21,13.06,11485.47235232,110,13.6405358,13.81001,13.31999,13.95,842.01035191
2017-03-22,13.24,8783.56516109,54,13.34801627,13.24,13.36,13.9,658.04273723
2017-03-23,13.371,959.63407385,30,13.86475373,13.4,13.98,13.99,69.21392854
2017-03-24,13.9,20529.12268852,179,14.56691276,13.99,15.11,16.0,1409.2981146
2017-03-25,14.06,3564.98664563,51,14.81955418,15.4,14.41,15.99,240.55964186
2017-03-26,14.3,1376.85482211,44,14.69188789,14.5,14.68999,15.04,93.71530961
2017-03-27,13.95,14663.65449575,121,14.355714,14.595,13.95,15.04,1021.4507266
2017-03-28,13.9,3068.88672302,57,14.33764878,14.29,14.275,14.86,214.04393211
2017-03-29,14.08,2487.79003144,50,14.56213258,14.275,14.55,14.79,170.83967729
2017-03-30,14.11,182055.9540303,479,22.53396047,14.47,24.0,27.78,8079.18138851
2017-03-31,19.03,78995.91624463,283,22.06169111,24.0,23.48,24.88,3580.68272504
2017-04-01,22.0,50824.14058529,153,23.23820658,22.5,23.75,24.0,2187.09393169
2017-04-02,23.17001,67095.65796785,412,25.12025923,23.45,25.96,27.46,2670.97792883
2017-04-03,25.0,35171.87427359,349,27.89544928,26.66147,27.65334,28.95,1260.84630939
2017-04-04,27.52,58899.33196422,414,31.15255605,28.76169,30.0,35.65,1890.67413501
2017-04-05,30.0,129221.79062525,616,36.22272291,30.0,38.98356,41.1235,3567.42343594
2017-04-06,32.67,162336.22494285,600,37.10994474,38.98773,35.89995,40.0,4374.46690033
2017-04-07,28.0,73922.90707683,314,32.22558014,34.55,31.94129,36.4,2293.92013283
2017-04-08,30.2,69228.20088511,242,33.18435965,31.72165,32.0,34.79,2086.16955726
2017-04-09,24.4,132742.83147128,404,29.16228845,32.0,28.0,32.0,4551.86607524
2017-04-10,26.01,39989.28153012,224,29.7145867,28.0,30.0,30.0,1345.77949672
2017-04-11,29.96018,69834.26200061,367,30.11811682,29.99098,30.30827,30.98999,2318.6795651
2017-04-12,30.15,211396.86724408,533,33.44215444,30.78494,35.05,35.99,6321.26939073
2017-04-13,32.0,86639.37312168,182,34.81790398,35.75,35.88,35.98,2488.35694326
2017-04-14,35.01,97308.20320604,160,36.33392458,35.79,37.0,37.0,2678.16384664
2017-04-15,36.5,91332.13050387,70,36.5481213,36.54,36.5,36.99,2498.95554842
2017-04-16,36.51,49705.63605045,72,36.84429068,36.51,37.47,37.48,1349.07295374
2017-04-17,35.121,131943.18233228,289,37.77283327,37.959,36.3,38.5,3493.07083733
2017-04-18,35.1,129962.39910619,339,35.9487131,36.3,36.39995,37.0,3615.21701101
2017-04-19,31.80005,143501.01251564,239,35.24372686,36.0,33.48,36.43,4071.67531097
2017-04-20,30.0,147167.14900486,313,33.28817565,33.4787,33.541,35.38,4421.0037381
2017-04-21,33.7,161813.09526927,367,36.15722744,33.7,35.2,37.0,4475.26280964
2017-04-22,35.7,639542.32720212,692,40.02894662,36.45,46.98,47.9,15976.99618098
2017-04-23,45.5,318574.31288145,374,50.62391498,46.0,48.01,54.98,6292.96080753
2017-04-24,46.0,92496.11075959,347,48.3165336,48.0101,48.89,49.97,1914.3780371
2017-04-25,46.5,211820.03459452,388,49.24496963,47.3,51.0,51.5,4301.35374567
2017-04-26,44.53,207445.62478719,370,50.27094363,51.0,51.4888,52.5,4126.55123994
2017-04-27,49.06,195548.5448579,365,50.34882103,51.4787,50.73999,52.48001,3883.87534913
2017-04-28,49.58,62261.02007194,198,50.6350651,51.14,49.8,51.14,1229.60284434
2017-04-29,49.58,149737.39714837,235,52.15113868,49.89999,53.7001,54.9,2871.22009111
2017-04-30,51.14,48541.3396514,200,52.67918048,53.7001,52.53,54.6,921.45206535
2017-05-01,51.55,140140.97988329,245,52.40099862,53.33899,52.6,54.35,2674.39521337
2017-05-02,50.60055,150300.53321326,353,52.35779279,51.95,52.8,53.55,2870.64303522
2017-05-03,52.20011,951838.21244588,1437,67.50825653,52.8,77.0,80.0,14099.58220493
2017-05-04,73.81,1480916.96578558,1833,89.81975219,77.99,90.99,125.0,16487.65365899
2017-05-05,81.0,426580.58164006,1026,90.28593453,90.99,90.00001,98.98,4724.77339745
2017-05-06,85.1234,408837.56200624,547,91.97091232,92.95999,94.99,97.99,4445.29201359
2017-05-07,91.0,472686.76767679,685,97.59256004,94.99,95.9,100.0,4843.47134118
2017-05-08,93.00001,759612.96159049,1039,99.42282228,95.9,94.521,106.89999,7640.22730585
2017-05-09,72.1,831918.19257759,1497,92.72235383,95.5,99.5,103.0,8972.14272775
2017-05-10,86.5,1378351.65779656,1779,106.78652052,99.022,108.97999,115.0,12907.54349058
2017-05-11,102.0,737189.28861426,1008,107.27579252,107.40702,110.49998,110.989,6871.90717774
2017-05-12,100.0,608682.18418629,991,106.07503491,110.0,102.14,111.0,5738.22280332
2017-05-13,99.4,260394.3566602,507,104.07966663,102.14,106.83772,108.9999,2501.87539104
2017-05-14,104.12,77695.52475527,216,105.77598174,106.8,104.7201,107.7,734.52898734
2017-05-15,95.1,596204.29964417,1062,100.00720504,104.8,95.1,106.49,5961.61345994
2017-05-16,78.1,848616.33941627,1050,90.90266668,95.1,87.93999,100.0,9335.43943626
2017-05-17,80.5,465525.00148495,867,91.02171261,84.9,90.61,95.89,5114.43905106
2017-05-18,90.62,630528.32263454,1306,98.86342505,91.0,102.5,105.1,6377.77137832
2017-05-19,100.0,273623.32658381,656,103.05679087,104.05,103.4,105.5,2655.07322974
2017-05-20,102.55,294770.43120792,477,104.57640442,103.4,105.145,106.2,2818.70879795
2017-05-21,100.01,245369.38691457,464,103.00725047,104.81598,100.11,105.98997,2382.05937743
2017-05-22,90.0,882620.68405247,1310,99.81601986,100.11,103.24997,105.0,8842.47523908
2017-05-23,102.0,1667628.50811395,2113,118.13160434,102.0,129.0,134.98995,14116.70075404
2017-05-24,123.1,1587956.4514968,2420,137.76050083,132.0,137.0,150.0,11526.93581889
2017-05-25,111.0,1639336.13286017,2608,148.59690477,139.0,138.0,198.0,11032.10147848
2017-05-26,105.0,1201674.18910455,2344,129.46205161,137.2,114.1,155.0,9282.05736123
2017-05-27,95.0,664591.15574766,1641,105.43502764,117.99,104.5,120.0,6303.32414805
2017-05-28,104.00001,287475.15035077,1210,110.441226,104.5,108.6,115.67,2602.96956808
